Janela solicitada;Carteira;Quantidade de ativos;Data inicial;Data final;Anos efetivos;Capital inicial;Valor final;Retorno total;CAGR;Volatilidade anual;Máximo drawdown
10 ano(s);Top_10;10;2021-04-30;2026-07-13;5,201916495550993;100000,0;283404,4770451909;1,8340447704519094;0,22171311673676763;0,16950636441350433;-0,1740565819637826
10 ano(s);Nova_12;12;2017-02-24;2026-07-13;9,379876796714578;100000,0;633503,4171560627;5,335034171560627;0,21751809823210833;0,21767895702244003;-0,43302992538113116
10 ano(s);Todos_16;16;2021-04-30;2026-07-13;5,201916495550993;100000,0;255160,53592213025;1,5516053592213024;0,1973043039101241;0,15236611421909838;-0,1466897504972965
5 ano(s);Top_10;10;2021-07-13;2026-07-13;4,999315537303217;100000,0;260217,93115946223;1,6021793115946221;0,21081785577108914;0,16780952998520912;-0,16141987535554225
5 ano(s);Nova_12;12;2021-07-13;2026-07-13;4,999315537303217;100000,0;251064,25723024894;1,5106425723024897;0,20217564350722772;0,15402109483276433;-0,15622898137082308
5 ano(s);Todos_16;16;2021-07-13;2026-07-13;4,999315537303217;100000,0;238668,1528350333;1,386681528350333;0,19006104458885398;0,15111519184231545;-0,14710287076515272
3 ano(s);Top_10;10;2023-07-13;2026-07-13;3,0006844626967832;100000,0;194148,25239793953;0,9414825239793954;0,24744839120084117;0,14680749930747564;-0,15280859160087423
3 ano(s);Nova_12;12;2023-07-13;2026-07-13;3,0006844626967832;100000,0;174331,45098245426;0,7433145098245428;0,2034837451172753;0,13391241194367037;-0,1507679314123569
3 ano(s);Todos_16;16;2023-07-13;2026-07-13;3,0006844626967832;100000,0;177811,09730908094;0,7781109730908093;0,21143639037378037;0,13575101417879765;-0,1456128322082384
1 ano(s);Top_10;10;2025-07-14;2026-07-13;0,9965776865160849;100000,0;134765,14111782052;0,3476514111782052;0,3490329218021475;0,1694209950161405;-0,1539413500621858
1 ano(s);Nova_12;12;2025-07-14;2026-07-13;0,9965776865160849;100000,0;126194,5472913612;0,26194547291361214;0,2629541084915188;0,15554232887936945;-0,14785694169624009
1 ano(s);Todos_16;16;2025-07-14;2026-07-13;0,9965776865160849;100000,0;127866,94847886327;0,2786694847886326;0,2797493451327404;0,16067866713104192;-0,14417789532035064
